120110,,天津市,市辖区,东丽区,,2,-272499,2274243
001,,,,,张贵庄街道,3,-335351,-836133
002,,,,,丰年村街道,3,-42540,130320
003,,,,,万新街道,3,337719,-496750
004,,,,,无瑕街道,3,-748879,2188940
005,,,,,新立街道,3,524360,-1526470
006,,,,,华明街道,3,730300,458980
007,,,,,金钟街道,3,342145,-1206090
008,,,,,军粮城街道,3,-1431311,1849030
009,,,,,金桥街道办事处,3,458751,-734670
400,,,,,开发区西区,3,-488387,1518315
401,,,,,保税区空港国际物流区,3,782987,-2041875
402,,,,,保税区空港国际物流经济区,3,253600,380730
403,,,,,东丽区开发区,3,-542890,-498120
404,,,,,东丽湖,3,599677,1632956
405,,,,,综合保税区,3,-599077,-753166
406,,,,,航空新城,3,244810,-485390
407,,,,,服务滨海新区建设管理委员会,3,-126127,-79083
120111,,天津市,市辖区,西青区,,2,-1173976,-2382752
001,,,,,西营门街道,3,1346858,245605
002,,,,,李七庄街道,3,-717511,231640
100,,,,,中北镇,3,625511,-689170
101,,,,,杨柳青镇,3,25360,-766620
102,,,,,辛口镇,3,-386851,-445000
103,,,,,张家窝镇,3,-322850,713100
104,,,,,精武镇,3,-498564,357610
105,,,,,大寺镇,3,119735,1625450
106,,,,,王稳庄镇,3,-1249730,261860
400,,,,,开发区西青微电子小区,3,1091685,-149540
401,,,,,新技术产业园区,3,937780,-1270900
402,,,,,西青高校区,3,437870,-1153100
450,,,,,西青区开发区,3,-1123240,1927170
120112,,天津市,市辖区,津南区,,2,-685256,1890975
100,,,,,咸水沽镇,3,191601,43895
101,,,,,葛沽镇,3,90859,1135430
102,,,,,小站镇,3,-728499,-720190
103,,,,,双港镇,3,1269800,-1180570
104,,,,,辛庄镇,3,-160930,314180
106,,,,,双桥河镇,3,-348640,939140
107,,,,,八里台镇,3,-466681,-1272680
108,,,,,北闸口镇,3,50121,895400
401,,,,,铁路十八局,3,1113091,-1085129
403,,,,,长青办事处,3,-342536,-125001
404,,,,,津南开发区东区,3,-374030,1653130
405,,,,,津南开发区西区,3,571,-1478
407,,,,,海河教育园区,3,270420,-832919
500,,,,,双林农场,3,404809,-884653
501,,,,,津南国家农业园区,3,-1157980,717200
120113,,天津市,市辖区,北辰区,,2,3123686,-1774765
001,,,,,果园新村街道,3,-326531,-347265
002,,,,,集贤里街道,3,91859,-58450
003,,,,,普东街道,3,-342589,713750
004,,,,,瑞景街道,3,-11455,-975130
005,,,,,佳荣里街道,3,-18280,189860
100,,,,,天穆镇,3,82694,244010
101,,,,,北仓镇,3,299831,-241410
102,,,,,双街镇,3,298469,-144060
103,,,,,双口镇,3,-340599,-743290
104,,,,,青光镇,3,-301701,228730
106,,,,,宜兴埠镇,3,-18419,1583460
107,,,,,小淀镇,3,523479,78330
108,,,,,大张庄镇,3,430940,24470
111,,,,,西堤头镇,3,-364379,1253350
400,,,,,科技园区北区,3,-275715,-1402920
401,,,,,科技园区南区,3,0,0
402,,,,,天津医药医疗器械工业园,3,-829906,218934
403,,,,,天津陆路港物流装备产业园,3,726226,-9384
404,,,,,天津风电产业园,3,830819,-567195
500,,,,,红旗农场,3,-661779,234825
501,,,,,曙光农场,3,361360,1618410
120114,,天津市,市辖区,武清区,,2,1436156,-3000778
001,,,,,杨村街道,3,-203871,-4622
002,,,,,下朱庄街道,3,-538260,217050
003,,,,,东蒲洼街道,3,822030,-724910
004,,,,,黄庄街道,3,-744481,497400
005,,,,,徐官屯街道,3,524060,230890
006,,,,,运河西街道,3,-54199,-229940
101,,,,,梅厂镇,3,-234401,1392990
102,,,,,大碱厂镇,3,1022851,-1091520
103,,,,,崔黄口镇,3,613530,1063210
104,,,,,大良镇,3,100140,-1026360
105,,,,,下伍旗镇,3,730180,-335630
